Key,Date,Pro,Pro Cell,Shipper,Consignee,Product,Status,Target Weight,Net Weight,Railcar 1,Batch 1,Railcar 1 Weight,Railcar 2,Batch 2,Railcar 2 Weight,Shipper Order,Customer PO#,,,,,,,,,,,,,,archive_status
TBOA 1073,10/11/2024,62624,O94,EXXON,"YANFENG - LOUISVILLE, KY",PP7855E1,MOVED,48000,0,,,0,,,,14480463,881360417,,,,,,,,,,,,,,TRUE
TBOA 1074,10/11/2024,62629,W94,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,50000,50660,OCPX 71559,5470N9A027,50660,,,,86631331,4506241946,,,,,,,,,,,,,,TRUE
TBOA 1075,10/11/2024,62630,G112,LYONDELLBASELL,"VENTRA - KANSAS CITY, KS",HIFAX TYC 1168P 848,Yes - On Dispatch Schedule,47000,48020,EQUX 23055,DF18T0501,48020,,,,8108231184,51370,,,,,,,,,,,,,,TRUE
TBOA 1076,10/11/2024,62631,O112,EXXON,"CKS PKG - OMAHA, NE",AD60-005,Yes - On Dispatch Schedule,48000,49000,XOMX 717212,24810559,49000,,,,14482950,881372751,,,,,,,,,,,,,,TRUE
TBOA 1077,10/11/2024,62626,W112,BAMBERGER AMCO,"COMPAC INT - CARBONDALE, IL",SABIC 7158A NATURAL,Yes - On Dispatch Schedule,48000,48000,TILX 624502,37278189,48000,,,,101292725-01-03,RM240334,,,,,,,,,,,,,,TRUE
TBOA 1078,10/11/2024,62639,G130,LYONDELLBASELL,"HILAND DAIRY - KANSAS CITY, MO",LM600700,MOVED,48000,0,MLLX 26657,CL424J09J4,0,,,,8108231691,11002,,,,,,,,,,,,,,TRUE
TBOA1079,10/12/2024,62632,G4,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,CANCELLED,48000,0,,,0,,,,8108231193,4500033962,,,,,,,,,,,,,,TRUE
TBOA 1080,10/12/2024,62633,O4,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,CANCELLED,48000,0,,,0,,,,8108231254,4500033962,,,,,,,,,,,,,,TRUE
TBOA1108,10/14/2024,62612,G4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,CANCELLED,48000,0,,,0,,,,14479835,881358704,,,,,,,,,,,,,,TRUE
TBOA 1109,10/14/2024,62613,O4,EXXON,"CKS PKG - OMAHA, NE",AD60-005,Yes - On Dispatch Schedule,48000,50240,XOMX 717212,24810559,50240,,,,14479806,881358706,,,,,,,,,,,,,,TRUE
TBOA 1110,10/14/2024,62614,W4,EXXON,"EPC - LEBANON, KY",PP7855E1,Yes - On Dispatch Schedule,48000,47740,EPAX 845162,24H1381A4,47740,,,,14479836,881358705,,,,,,,,,,,,,,TRUE
TBOA 1111,10/14/2024,62634,G22,EXXON,"TOYOTA BOSHOKU - BARDSTOWN, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47600,XOMX 51034,24H0781A6,47600,,,,14482559,881372927,,,,,,,,,,,,,,TRUE
TBOA 1112,10/14/2024,62635,O22,LYONDELLBASELL,"DEE ZEE INC - WEST DES MOINES, IA",HIFAX TRC 779P 848,Yes - On Dispatch Schedule,47000,46780,EQUX 23075,DH16T0601,46780,,,,8108231227,7302450,,,,,,,,,,,,,,TRUE
TBOA 1113,10/14/2024,62636,W22,LYONDELLBASELL,"AXIUM (INNOV) - NEW ALBANY, OH",RP311H,Yes - On Dispatch Schedule,47000,46780,MLLX 97257,DH12LJK03,46780,,,,8108231232,4500034151,,,,,,,,,,,,,,TRUE
TBOA 1114,10/14/2024,62637,G40,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,Yes - On Dispatch Schedule,45000,45600,FPAX 980456,2404980456,13200,MBKX 175064,2408175064,32400,L49A354,4504864190,,,,,,,,,,,,,,TRUE
TBOA 1115,10/14/2024,62643,O40,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,STRIP OUT,47040,EQUX 19455,CB124J2201,47040,,,,8108235886,4500033962,,,,,,,,,,,,,,TRUE
TBOA 1116,10/14/2024,62656,W40,LYONDELLBASELL,"ALPHA - ST LOUIS, MO",RP311H,Yes - On Dispatch Schedule,48000,48200,EQUX 18929,DH29LKJ03,48200,,,,8108240531,7172-01,,,,,,,,,,,,,,TRUE
TBOA 1117,10/14/2024,62639,G58,LYONDELLBASELL,"HILAND DAIRY - KANSAS CITY, MO",LM600700,Yes - On Dispatch Schedule,48000,47020,MLLX 26657,CL424J09J4,47020,,,,8108231691,11002,,,,,,,,,,,,,,TRUE
TBOA 1118,10/14/2024,62607,O58,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,48080,CHVX 890437,PRJ610250,48080,,,,81235298,4503718058,,,,,,,,,,,,,,TRUE
TBOA 1119,10/14/2024,62608,W58,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,Yes - On Dispatch Schedule,47000,45800,CHVX 890437,PRJ610250,45800,,,,81235299,4503716673,,,,,,,,,,,,,,TRUE
TBOA 1120,10/14/2024,62674,G76,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,MOVED,48000,0,SHQX 4185,24909503,,XOMX 710977,24909507,,,,,,,,,,,,,,,,,TRUE
TBOA 1121,10/14/2024,62673,O76,BAMBERGER AMCO,"TNT PLASTICS - PERRYVILLE, MO",BAPOLENE 133F NATURAL,Yes - On Dispatch Schedule,46000,46740,WLPX 58035,8549880RL,46740,,,,101215258-01-01,11600,,,,,,,,,,,,,,TRUE
TBOA 1122,10/14/2024,62609,W76,EXXON,"TG MISSOURI - PERRYVILLE, MO",PP7855E1,Yes - On Dispatch Schedule,48000,49060,EPAX 845162,24H1381A4,49060,,,,14479734,881358202,,,,,,,,,,,,,,TRUE
TBOA 1123,10/14/2024,62698,G94,BAMBERGER AMCO,"EEJAY WAREHOUSE - E ST LOUIS, IL",BAPOLENE 2035 NATURAL,HIDE,STRIP OUT,0,HLTX 104289,8439775RL,0,,,,10646971,,,,,,,,,,,,,,,TRUE
TBOA 1124,10/14/2024,62699,O94,SHAW,"SEV-REND CORP - COLLINSVILLE, IL",HDPE,MOVED,"40,000 max",0,BPTX 729126,36511,0,,,,36511/276059,26997,,,,,,,,,,,,,,TRUE
TBOA1125,10/15/2024,62638,G4,EXXON,"TG KENTUCKY - LEBANON, KY",PP7855E1,Yes - On Dispatch Schedule,48000,48140,EPAX 845162,24H1381A4,3200,XOMX 123601,24H1181B8,44940,14482570,881372924,,,,,,,,,,,,,,TRUE
TBOA 1126,10/15/2024,62640,O4,CP CHEM,"ALTIUM PKG - WEST MEMPHIS, AR",9513H,Yes - On Dispatch Schedule,47000,46840,CPCX 815390,NRE120262,46840,,,,81236963,342617,,,,,,,,,,,,,,TRUE
TBOA 1127,10/15/2024,62641,W4,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,Yes - On Dispatch Schedule,47000,46160,CHVX 890437,PRJ610250,37180,CPCX 805042,PRJ610260,8980,81236965,4503716675,,,,,,,,,,,,,,TRUE
TBOA 1128,10/15/2024,62642,G22,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,47680,CPCX 805042,PRJ610260,47680,,,,81236966,4503718059,,,,,,,,,,,,,,TRUE
TBOA 1129,10/15/2024,62644,O22,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,Yes - On Dispatch Schedule,45000,46160,MBKX 175064,2408175064,46160,,,,L49A355,4504864190,,,,,,,,,,,,,,TRUE
TBOA 1130,10/15/2024,62645,W22,EXXON,"TOYOTA BOSHOKU - LAWRENCEVILLE, IL",PP8285E1,CANCELLED,48000,47180,XOMX 51034,24H0781A6,47180,,,,14484986,881375528,,,,,,,,,,,,,,TRUE
TBOA 1131,10/15/2024,62646,G40,LYONDELLBASELL,"FLEX N GATE PLASTICS - DANVILLE, IL",HIFAX TYC 1342P,CANCELLED,,0,,,0,,,,8108235893,9407,,,,,,,,,,,,,,TRUE
TBOA 1132,10/15/2024,62651,O40,BOORTMALT,"4 HANDS BREWING - ST LOUIS, MO",PM 2R PALE MALT,Yes - On Dispatch Schedule,48000,47380,IARX 570356,IARX570356,23660,IARX 570354,IARX 570354,23720,80133535,2861 Bulk C: 40002727 (2024),,,,,,,,,,,,,,TRUE
TBOA 1133,10/15/2024,62657,W40,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,47280,TILX 621747,CB124J2005,47280,,,,8108240532,4500033962,,,,,,,,,,,,,,TRUE
TBOA 1134,10/15/2024,62665,G58,K-BIN,"CHARLES INDUSTRIES - CANTON, MO",T25WH736,Yes - On Dispatch Schedule,STRIP OUT,41700,GPLX 74832,B1240525,41700,,,,74832-4,563290,,,,,,,,,,,,,,TRUE
TBOA 1135,10/15/2024,62675,O58,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,49000,49180,OCPX 71559,5470N9A027,49180,,,,86633400,4506241946,,,,,,,,,,,,,,TRUE
TBOA 1136,10/15/2024,62674,W58,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,Yes - On Dispatch Schedule,48000,48380,SHQX 4185,24909503,39700,XOMX 710977,24909507,8680,14495700,881387216,,,,,,,,,,,,,,TRUE
TBOA 1137,10/15/2024,62699,G76,SHAW,"SEV-REND CORP - COLLINSVILLE, IL",HDPE,Yes - On Dispatch Schedule,"40,000 max",39800,BPTX 729126,36511,39800,,,,36511/276059,26997,,,,,,,,,,,,,,TRUE
TBOA 1138,10/15/2024,62709,O76,BAMBERGER AMCO,"EEJAY WAREHOUSE - E ST LOUIS, IL",COPYLENE CH120LN NATURAL,HIDE,5000,0,GPLX 77950,ZD03XPB02,0,,,,16028007,,,,,,,,,,,,,,,TRUE
TBOA1139,10/16/2024,62647,G4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,48500,TCMX 472497,24H0783A2,48500,,,,14484914,881375260,,,,,,,,,,,,,,TRUE
TBOA 1140,10/16/2024,62648,O4,LYONDELLBASELL,"VENTRA - RUSSELLVILLE, KY",HIFAX TYC 1342P,Yes - On Dispatch Schedule,48000,47400,EQUX 16581,DH07M0601,47400,,,,8108235878,14945,,,,,,,,,,,,,,TRUE
TBOA 1141,10/16/2024,62649,W4,LYONDELLBASELL,"BECTON DICKINSON - BROKEN BOW, NE",PF511,Yes - On Dispatch Schedule,46000,46780,EQUX 631496,DG23BCC06,32620,EQUX 19496,DG24BCC01,14160,8108235892,6501271091,,,,,,,,,,,,,,TRUE
TBOA 1142,10/16/2024,62652,G22,EXXON,"TOYOTA BOSHOKU - BARDSTOWN, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47480,ECUX 887850,24H0883A5,47480,,,,14487922,881378835,,,,,,,,,,,,,,TRUE
TBOA 1143,10/16/2024,62658,O22,LYONDELLBASELL,"NASCOTE INDUSTRIES - NASHVILLE, IL",HIFAX TYC 1342X,Yes - On Dispatch Schedule,48000,47020,EQUX 23399,DH20M0701,47020,,,,8108240539,B00901407,,,,,,,,,,,,,,TRUE
TBOA 1144,10/16/2024,62659,W22,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,CANCELLED,48000,0,,,0,,,,8108240535,4500033962,,,,,,,,,,,,,,TRUE
TBOA 1145,10/16/2024,62660,G40,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,46280,CPCX 805042,PRJ610260,46280,,,,81238338,4503718060,,,,,,,,,,,,,,TRUE
TBOA 1146,10/16/2024,62661,O40,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,CANCELLED,47000,0,,,0,,,,81238339,4503716677,,,,,,,,,,,,,,TRUE
TBOA 1147,10/16/2024,62662,W40,LYONDELLBASELL,"NASCOTE INDUSTRIES - NASHVILLE, IL",HIFAX TYC 1342P,Yes - On Dispatch Schedule,48000,47020,EQUX 16581,DH07M0601,47020,,,,8108240538,B00901407,,,,,,,,,,,,,,TRUE
TBOA 1148,10/16/2024,62663,G58,CP CHEM,"ALPLA - ST PETERS, MO",9503H,Yes - On Dispatch Schedule,47000,49000,CPCX 815950,NRE120501,38960,PNWX 201567,NRG120272,10040,81238321,APO00306311,,,,,,,,,,,,,,TRUE
TBOA 1149,10/16/2024,,O58,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,MOVED,48000,0,,,0,,,,14485343,881374787,,,,,,,,,,,,,,TRUE
TBOA 1150,10/16/2024,62688,W58,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,STRIP OUT,46820,OCPX 71559,5470N9A027,46820,,,,86633676,4506241946,,,,,,,,,,,,,,TRUE
TBOA 1151,10/16/2024,62710,G76,LYONDELLBASELL,"GRAHAM PKG - MUSKOGEE, OK",RP311H,Yes - On Dispatch Schedule,45000,45700,EQUX 18929,DH29LKJ03,45700,,,,8108253104,8800317210,,,,,,,,,,,,,,TRUE
TBOA 1152,10/16/2024,62669,O76,EXXON,"WHIRLPOOL - VICTOR, IA",PP7694E2,Yes - On Dispatch Schedule,48000,49420,XOMX 710733,24H1541A1,49420,,,,14491859,881383104,,,,,,,,,,,,,,TRUE
TBOA 1153,10/16/2024,62734,W76,BAMBERGER AMCO,"EEJAY WAREHOUSE - E ST LOUIS, IL",HDPE J52-08-226 NATURAL,,50000,0,ELTX 7630,C240924J12,0,,,,10624436,,,,,,,,,,,,,,,TRUE
TBOA1154,10/17/2024,62653,G4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47180,XOMX 51034,24H0781A6,47180,,,,14487934,881378833,,,,,,,,,,,,,,TRUE
TBOA 1155,10/17/2024,62654,O4,EXXON,"CKS PKG - OMAHA, NE",AD60-005,Yes - On Dispatch Schedule,48000,47300,XOMX 717212,24810559,47300,,,,14488067,881378834,,,,,,,,,,,,,,TRUE
TBOA 1156,10/17/2024,62666,W4,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,CANCELLED,45000,45500,MBKX 175064,2408175064,45500,,,,L49A356,4504864190,,,,,,,,,,,,,,TRUE
TBOA 1157,10/17/2024,62667,G22,K-BIN,"CHARLES INDUSTRIES - CANTON, MO",T23GRN9994,Yes - On Dispatch Schedule,41000,40420,ROIX 57160,A2240605,40420,,,,57160-3,563289,,,,,,,,,,,,,,TRUE
TBOA 1158,10/17/2024,62668,O22,EXXON,"TOYOTA BOSHOKU - PRINCETON, IN",PP8285E1,Yes - On Dispatch Schedule,48000,47720,TCMX 472497,24H0783A2,47720,,,,14491734,881382899,,,,,,,,,,,,,,TRUE
TBOA 1159,10/17/2024,62669,W22,EXXON,"WHIRLPOOL - VICTOR, IA",PP7694E2,MOVED,48000,0,XOMX 710733,24H1541A1,0,,,,14491859,881383104,,,,,,,,,,,,,,TRUE
TBOA 1160,10/17/2024,62676,G40,CP CHEM,"ALTIUM PKG - WEST MEMPHIS, AR",9513H,CANCELLED,47000,0,,,0,,,,81239140,342618,,,,,,,,,,,,,,TRUE
TBOA 1161,10/17/2024,62677,O40,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,47240,CPCX 814325,PRJ611070,47240,,,,81239135,4503718061,,,,,,,,,,,,,,TRUE
TBOA 1162,10/17/2024,62678,W40,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,CANCELLED,47000,45180,CPCX 805042,PRJ610260,45180,,,,81239134,4503716679,,,,,,,,,,,,,,TRUE
TBOA 1163,10/17/2024,62679,G58,LYONDELLBASELL,"ALPHA - ST LOUIS, MO",RP311H,Yes - On Dispatch Schedule,48000,47000,EQUX 18929,DH29LKJ03,47000,,,,8108244669,7172-01,,,,,,,,,,,,,,TRUE
TBOA 1164,10/17/2024,62680,O58,LYONDELLBASELL,"SILGAN PLASTICS - FLORA, IL",RP311H,Yes - On Dispatch Schedule,48000,48480,EQUX 18929,DH29LKJ03,48480,,,,8108244664,389971-5,,,,,,,,,,,,,,TRUE
TBOA 1165,10/17/2024,62681,W58,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,48400,TILX 621747,CB124J2005,48400,,,,8108244661,4500033962,,,,,,,,,,,,,,TRUE
TBOA 1166,10/17/2024,62689,G76,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,Yes - On Dispatch Schedule,48000,48380,SHQX 4185,24909503,39700,XOMX 710977,24909507,8680,14495677,881387217,,,,,,,,,,,,,,TRUE
TBOA 1167,10/17/2024,62702,O76,EXXON,"GREIF INC - LOCKPORT, IL",BA46-055,Yes - On Dispatch Schedule,48000,47460,XOMX 710977,24909507,47460,,,,14496200,881388220,,,,,,,,,,,,,,TRUE
TBOA 1168,10/17/2024,62685,W76,CP CHEM,"BECTON DICKINSON - BROKEN BOW, NE",9018,Yes - On Dispatch Schedule,STRIP OUT,44740,PSPX 2505,DRH921560,44740,,,,81239194,6501268713,,,,,,,,,,,,,,TRUE
TBOA1169,10/18/2024,62664,G4,LYONDELLBASELL,"BECTON DICKINSON - BROKEN BOW, NE",PF511,Yes - On Dispatch Schedule,46000,46220,EQUX 19496,DG24BCC01,46220,,,,8108240534,6501246895,,,,,,,,,,,,,,TRUE
TBOA 1170,10/18/2024,62245,O4,LYONDELLBASELL,"BECTON DICKINSON - BROKEN BOW, NE",PF511,MOVED,46000,0,,,0,,,,8108119482,6501246894,,,,,,,,,,,,,,TRUE
TBOA 1171,10/18/2024,62670,W4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,CANCELLED,48000,0,,,0,,,,14491858,881383103,,,,,,,,,,,,,,TRUE
TBOA 1172,10/18/2024,62671,G22,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,CANCELLED,48000,0,,,0,,,,14491865,881383106,,,,,,,,,,,,,,TRUE
TBOA 1173,10/18/2024,62682,O22,LYONDELLBASELL,"FLEX N GATE PLASTICS - CHICAGO, IL",HIFAX TYC 1342P,Yes - On Dispatch Schedule,48000,47000,EQUX 16581,DH07M0601,47000,,,,8108244660,1837,,,,,,,,,,,,,,TRUE
TBOA 1174,10/18/2024,62683,W22,LYONDELLBASELL,"AXIUM (INNOV) - NEW ALBANY, OH",RP311H,CANCELLED,47000,48220,MLLX 26383,DH12LJK05,41840,MLLX 97257,DH12LJK03,6380,8108244663,4500034151,,,,,,,,,,,,,,TRUE
TBOA 1175,10/18/2024,62684,G40,LYONDELLBASELL,"PRETIUM PKG - AURORA, IL",L5840,MOVED,"45,000 MAX",0,,,0,,,,8108244667,920010655,,,,,,,,,,,,,,TRUE
TBOA 1176,10/18/2024,62685,O40,CP CHEM,"BECTON DICKINSON - BROKEN BOW, NE",9018,MOVED,45000,0,,,0,,,,81239194,6501268713,,,,,,,,,,,,,,TRUE
TBOA 1177,10/18/2024,62686,W40,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,Yes - On Dispatch Schedule,47000,47940,CPCX 814325,PRJ611070,47940,,,,81239200,4503716680,,,,,,,,,,,,,,TRUE
TBOA 1178,10/18/2024,62687,G58,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,47000,CPCX 814325,PRJ611070,47000,,,,81239210,4503718062,,,,,,,,,,,,,,TRUE
TBOA 1179,10/18/2024,62690,O58,EXXON,"NYX - NEW ALBANY, IN",PP7855E1,Yes - On Dispatch Schedule,48000,48660,XOMX 123601,24H1181B8,48660,,,,14491633,881383107,,,,,,,,,,,,,,TRUE
TBOA 1180,10/18/2024,62691,W58,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,Yes - On Dispatch Schedule,45000,45500,MBKX 175064,2408175064,45500,,,,L49A357,4504864190,,,,,,,,,,,,,,TRUE
TBOA 1181,10/18/2024,62692,G76,EXXON,"TOYOTA BOSHOKU - LAWRENCEVILLE, IL",PP8285E1,Yes - On Dispatch Schedule,48000,47440,TCMX 472497,24H0783A2,47440,,,,14495011,881386820,,,,,,,,,,,,,,TRUE
TBOA 1182,10/18/2024,62693,O76,EXXON,"TOYOTA BOSHOKU - BARDSTOWN, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47460,XOMX 51034,24H0781A6,45040,TCMX 472497,24H0783A2,2420,14495196,881386821,,,,,,,,,,,,,,TRUE
TBOA 1183,10/18/2024,62700,W76,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,47480,MLLX 98632,CB124J2104,47480,,,,8108248418,4500033962,,,,,,,,,,,,,,TRUE
TBOA 1184,10/18/2024,62711,G94,LYONDELLBASELL,"VENTRA - KANSAS CITY, KS",HIFAX TYC 1168P 848,CANCELLED,,0,,,0,,,,8108252955,51370,,,,,,,,,,,,,,TRUE
TBOA 1185,10/18/2024,62703,O94,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,46000,48700,OCPX 70467,5470N9A029,48700,,,,86634532,4506241946,,,,,,,,,,,,,,TRUE
TBOA 1186,10/18/2024,62704,W94,LYONDELLBASELL,"NASCOTE INDUSTRIES - NASHVILLE, IL",HIFAX TYC 1342P,Yes - On Dispatch Schedule,STRIP OUT,47780,EQUX 16581,DH07M0601,47780,,,,8108248420,B00901407,,,,,,,,,,,,,,TRUE
TBOA 1187,10/18/2024,62723,G112,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,Yes - On Dispatch Schedule,48000,47040,XOMX 710977,24909507,47040,,,,14503698,881398442,,,,,,,,,,,,,,TRUE
TBOA1188,10/19/2024,62701,G4,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,CANCELLED,48000,0,,,0,,,,8108248423,4500033962,,,,,,,,,,,,,,TRUE
TBOA 1189,10/19/2024,62712,O4,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,CANCELLED,48000,0,,,0,,,,8108252983,4500033962,,,,,,,,,,,,,,TRUE
TBOA1217,10/21/2024,62672,G4,K-BIN,"CHARLES INDUSTRIES - CANTON, MO",KB2971T1GRN9994,Yes - On Dispatch Schedule,STRIP OUT,38260,ROIX 57311,AF240406,38260,,,,57311-4,563291,,,,,,,,,,,,,,TRUE
TBOA 1218,10/21/2024,62694,O4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47480,TCMX 472497,24H0783A2,8800,ECUX 887850,24H0883A5,38680,14493258,881384418,,,,,,,,,,,,,,TRUE
TBOA 1219,10/21/2024,62695,W4,EXXON,"CKS PKG - OMAHA, NE",AD60-005,MOVED,48000,0,XOMX 717212,24810559,0,,,,14495197,881386819,,,,,,,,,,,,,,TRUE
TBOA 1220,10/21/2024,62696,G22,EXXON,"EPC - LEBANON, KY",PP7855E1,Yes - On Dispatch Schedule,48000,48020,XOMX 123601,24H1181B8,48020,,,,14495139,881386822,,,,,,,,,,,,,,TRUE
TBOA 1221,10/21/2024,62705,O22,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,Yes - On Dispatch Schedule,45000,46020,MBKX 175064,2408175064,46020,,,,L49A358,4504864190,,,,,,,,,,,,,,TRUE
TBOA 1222,10/21/2024,62706,W22,EXXON,"TOYOTA BOSHOKU - BARDSTOWN, KY",PP8285E1,Yes - On Dispatch Schedule,48000,48320,TCMX 472497,24H0783A2,48320,,,,14499685,881393433,,,,,,,,,,,,,,TRUE
TBOA 1223,10/21/2024,62713,G40,EXXON,"WHIRLPOOL - WEST BRANCH, IA",PP7694E2,Yes - On Dispatch Schedule,48000,47820,XOMX 710733,24H1541A1,47820,,,,14500451,881393581,,,,,,,,,,,,,,TRUE
TBOA 1224,10/21/2024,62714,O40,LYONDELLBASELL,"DEE ZEE INC - WEST DES MOINES, IA",HIFAX TRC 779P 848,Yes - On Dispatch Schedule,47000,48960,EQUX 23075,DH16T0601,48960,,,,8108252973,7302450,,,,,,,,,,,,,,TRUE
TBOA 1225,10/21/2024,62707,W40,EXXON,"TG MISSOURI - PERRYVILLE, MO",PP7855E1,MOVED,48000,0,XOMX 123601,24H1181B8,0,,,,14499650,881393435,,,,,,,,,,,,,,TRUE
TBOA 1226,10/21/2024,62715,G58,CP CHEM,"PRIMEX PLASTICS - RICHMOND, IN",9503H,Yes - On Dispatch Schedule,47000,46600,PNWX 201567,NRG120272,46600,,,,81240844,101128085,,,,,,,,,,,,,,TRUE
TBOA 1227,10/21/2024,62724,O58,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,MOVED,48000,0,,,0,,,,14503640,881398441,,,,,,,,,,,,,,TRUE
TBOA 1228,10/21/2024,62725,W58,LYONDELLBASELL,"ALPHA - ST LOUIS, MO",RP311H,Yes - On Dispatch Schedule,48000,48220,MLLX 26383,DH12LJK05,41840,MLLX 97257,DH12LJK03,6380,8108257214,7172-01,,,,,,,,,,,,,,TRUE
TBOA 1229,10/21/2024,62726,G76,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,47140,MLLX 98632,CB124J2104,47140,,,,8108257206,4500033962,,,,,,,,,,,,,,TRUE
TBOA 1230,10/21/2024,62727,O76,LYONDELLBASELL,"GRAHAM PKG - MUSKOGEE, OK",RP311H,Yes - On Dispatch Schedule,45000,44220,MLLX 24057,DK06LKJ05,44220,,,,8108257180,8800317211,,,,,,,,,,,,,,TRUE
TBOA 1231,10/21/2024,62728,W76,LYONDELLBASELL,"VENTRA - KANSAS CITY, KS",HIFAX TYC 1168P 848,Yes - On Dispatch Schedule,45000,44560,UTCX 49318,DH07T0501,44560,,,,8108257185,51370,,,,,,,,,,,,,,TRUE
TBOA 1232,10/21/2024,62684,G94,LYONDELLBASELL,"PRETIUM PKG - AURORA, IL",L5840,Yes - On Dispatch Schedule,"45,000 MAX",45420,UTCX 49470,MT124H2212,45420,,,,8108244667,920010655,,,,,,,,,,,,,,TRUE
TBOA 1233,10/21/2024,62747,O94,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,45000,47720,OCPX 70467,5470N9A029,47720,,,,86636575,4506241946,,,,,,,,,,,,,,TRUE
TBOA1234,10/22/2024,62650,G4,BAMBERGER AMCO,"COMPAC INT - CARBONDALE, IL",SABIC 7158A NATURAL,CANCELLED,48000,0,,,0,,,,101292732-01-01,RM240334,,,,,,,,,,,,,,TRUE
TBOA 1235,10/22/2024,62697,O4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,49160,ECUX 887850,24H0883A5,49160,,,,14494177,881385554,,,,,,,,,,,,,,TRUE
TBOA 1236,10/22/2024,62708,W4,EXXON,"TOYOTA BOSHOKU - SCOTTSBURG, IN",PP7855E1,Yes - On Dispatch Schedule,48000,48380,XOMX 123601,24H1181B8,48380,,,,14499342,881393434,,,,,,,,,,,,,,TRUE
TBOA 1237,10/22/2024,62716,G22,LYONDELLBASELL,"VENTRA - RUSSELLVILLE, KY",HIFAX TYC 1342P,Yes - On Dispatch Schedule,48000,47040,UNPX 124056,DH07M0602,47040,,,,8108252966,14945,,,,,,,,,,,,,,TRUE
